Question,Link,Answer
Instructor Getting Started Resources,https://community.canvaslms.com/t5/Instructor-Guide/Instructor-Getting-Started-Resources/ta-p/579378,"Below are some general questions and answers about Canvas, the Teacher role, and links to resources to help you be comfortable with Canvas. Visit the Instructor Guides to learn more. What is Canvas? Canvas is a Learning Management System. To learn more about Canvas terminology and definitions, visit How does Canvas define the terms used to describe its features and functions?  Because Canvas is a web-based system, it doesn’t need to be installed on your computer. However, you’ll want to make sure that your computer and web browser meet the basic requirements to run Canvas.  What is the Instructor/Teacher role? In Canvas, the Teacher role is used to enroll users responsible for course creation, instruction, and management. Teachers are also referred to as instructors in Canvas. In general, users with the Teacher role have permissions that allow them to moderate a course, view course data, and direct daily course communications. However, these permissions may vary among institutions. Canvas for Elementary Canvas for Elementary is a Canvas setting that displays a simplified interface and experience designed for young learners. Your institution may have this enabled for your course(s). Course Structure Resources Additional Resources Flowcharts For a visual representation of how to get started with Canvas as an instructor, view the Getting Started with Canvas as an Instructor Flowchart. For a visual representation of what students can view and access course content, view the Student Course Visibility and Participation Flowchart. Videos To watch a short video series on setting up a new Canvas course, view Set up your Canvas course in 30 minutes or less. Canvas Guides The Canvas Instructor Guide has over 600 articles that each answer a question that relates to using the Canvas interface as an instructor. Each article also includes Next and Previous links so you can easily navigate to related content. Before you can do anything in Canvas, you'll need an account and the URL for your institution's Canvas website. View the articles below for help with setting up your account, logging in, and managing your user settings. Theres a very simple way to log in to the Canvas Teacher app. In the web version of Canvas, if you click the Account link in the Global Navigation menu, you'll see a QR for Mobile Login link. After opening the Canvas Teacher app on your mobile device, scan that code. You will be instantly logged-in, without having to worry about connecting to your school and retyping your information. Canvas has four main areas: Canvas Dashboard, sidebar, Global Navigation menu, and course interface. The articles below show you how to navigate Canvas and use a few of the tools that link across all your courses. Canvas provides several tools that allow you to create a course and add content for your students. View the articles below for information on setting up your Canvas course. Each course includes various features where you can share course content, hold discussions, assign coursework, grade student submissions, and much more. View the articles below for some of the basics of Canvas courses. Learn more about Canvas features in the Canvas Basics Guide. Visit the Canvas Teacher Android Guide or the Canvas Teacher iOS Guide to learn more.  Canvas also has a free mobile app available for iOS and Android that is specifically tailored to instructors. View information about the Teacher app below. Resource documents offer visualizations of information as well as deep dives into various feature or data areas in Canvas. Below are commonly accessed resource documents. "
How do I accept an invitation to join a Canvas course as an instructor?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-accept-an-invitation-to-join-a-Canvas-course-as-an/ta-p/1641,"If you are using Canvas through your institution, you will most likely already have a Canvas account and need to accept a course invitation before you can log in. Your institution will email your login information. However, you may also receive a course invitation where you have to create a Canvas account as part of the registration process. Note: If your institution is using Canvas and you are having trouble with your account, contact your administrator for assistance. If you've enrolled in or been invited to a Canvas course, you will receive an email that contains your institution's Canvas URL [1] and your email address to use for your login [2]. To accept the course invitation, click the Get Started button [3]. Canvas will take you to your course and ask you to accept the enrollment. Click the Accept button. Click the Create My Account button.  Note: If you already have a Canvas account, click the I Have a Canvas Account button. You'll be directed to the Canvas login page. Create a password [1] and enter your time zone [2]. Depending on your account type, you may be asked if you want to receive information, news, and tips from Instructure [3].  Select the Acceptable Use Policy checkbox [4], then click the Register button [5]."
How do I sign up for a new Free-for-Teacher Canvas account as an instructor?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-sign-up-for-a-new-Free-for-Teacher-Canvas-account-as-an/ta-p/894,"If you do not already have a Canvas account, you need to create an account before you can log in to Canvas. If you are using Canvas through your institution, you will most likely already have an account and need to accept a course invitation. Your institution will email your login information. If you do not yet have an account, you can create an account when you accept the course invitation. If your institution is using Canvas and you are having trouble with your account, contact your administrator for assistance.  If your institution is not using Canvas, you can create your own account, also known as a free-for-teacher account, to create your own courses. Notes:  Enter your Canvas registration URL (e.g. canvas.instructure.com) into your browser. Click the Need a Canvas Account? link. Click the I'm a Teacher button.  To sign up for a free Canvas teacher account, enter your name in the First Name field [1] and Last Name field [2]. Click the Account Type drop-down menu [3] and select Teacher. Click the Submit button [4] to continue. To finish registration create an account you will need to fill out the following fields: To confirm you agree to the Terms of Use and Privacy Policy, click I consent to receiving marketing communications from Instructure, and to the processing of my personal data by Instructure, in accordance with and as described in the privacy policy checkbox [9] and I agree to the Canvas Free for Teacher Acceptable Use Policy checkbox [10] . Click the Submit button [11] to create your account. You will be automatically logged into your Canvas account. To view Canvas, click the Get Started button. To finish registering for Canvas, log into your email account. Locate the registration email and click the Click here to finish the registration process link. Enter a password for your account in the Password field [1]. Select your time zone in the Time Zone drop-down menu [2]. Then click the Register button [3]. "
How can I use Canvas on my mobile device as an instructor?,https://community.canvaslms.com/t5/Instructor-Guide/How-can-I-use-Canvas-on-my-mobile-device-as-an-instructor/ta-p/810,"Canvas is built on open web standards, so most features are supported on mobile devices. With the growing use of mobile devices, you should build your courses with best practices for mobile in mind.  You can access Canvas from any browser on your Android/iOS device. However, mobile browsers are not supported, and features may not function as expected compared to viewing Canvas in a fully supported desktop browser.  On mobile devices, Canvas is designed to be used within Canvas mobile applications. Canvas pages within a mobile browser are only supported when an action in the app links directly to the browser, such as when a student takes certain types of quizzes. Support is not extended to pages that cannot currently be used in the app, such as Conferences or Collaborations. Additionally, Canvas offers limited support for native mobile browsers on tablet devices. For details, please reference the limited-support mobile browser guidelines. We are actively improving our native mobile applications to support as many Canvas features as possible. Instructure has four native mobile applications for instructors free for download on both phones and tablets. You can learn more about mobile applications in the Canvas Mobile Guides."
How does Canvas work as a supplement to face-to-face courses?,https://community.canvaslms.com/t5/Instructor-Guide/How-does-Canvas-work-as-a-supplement-to-face-to-face-courses/ta-p/651,"Canvas provides tools that supplement face-to-face courses by providing additional information online. Students will be able to access content for courses they are enrolled in through Canvas. Some institutions provide Canvas course sites for face-to-face courses automatically, while others require their instructors to request course sites in Canvas. In face-to-face courses, you can use Canvas features to help manage your course, such as Gradebook and Assignments.  You can use features to gather student work via online submissions in assignments, or deliver course content such as PDFs, documentation, and presentations using Files.  Canvas quizzes give you an opportunity to provide online practice quizzes or class surveys quickly and easily.  Canvas modules allow you to organize units of related materials that students can access from any device with an internet connection. Organized content in modules make great stand-alone resources—review materials, videos, images, self-paced activities such as practice quizzes, or web quests. You can also use them to try new teaching practices such as flipped classroom models in select lessons. "
How do I embed a guide in a Canvas course?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-embed-a-guide-in-a-Canvas-course/ta-p/626,"In the community, you can copy an embed code of a guide to paste in your Canvas course page. For referencing content, consider linking lessons from the community into your course content.  Many of our clients are using Canvas Guides to build their own training modules inside Canvas. By embedding lessons in your course with iFrames, you can be sure that our most recent documentation is available to your learners. You can also link to the Guides in Modules. Note: You can only embed guides in Canvas courses. Embedding on other sites is not supported. In the community, at the end of the guide, click the Embed this Guide button [1]. To copy the embed code, click the Copy Code button [2]. Note: You can only embed guides in Canvas courses. Embedding on other sites is not supported. In Course Navigation, click the Pages link. Pages is designed to open to the front page for the course, if there is a front page selected. To select a page from the Pages Index, click the View All Pages button. Click the Add Page button. Enter the name of the new page. You may decide to copy and paste the exact title of the Canvas guide. Click the HTML Editor icon. Paste the previously copied embed code into the Rich Content Editor. Example of embed code: <div style=""overflow: hidden;""><iframe style=""width: 100%; height: 800px; margin-top: -260px;"" src=""CanvasGuideURL""></iframe></div> If you are ready to publish your page, click the Save & Publish button [1]. If you want to create a draft of your page, click the Save button [2]. Note: If you try to navigate away from a page without saving, you will generate a pop-up warning. When your page is saved in a draft state, you can return to the page and publish it at any time by clicking the Publish button [1]. The button changes from gray to green [2]. When you open the page in Canvas, it may take a moment to load the content."
How do I view Course Analytics?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-view-Course-Analytics/ta-p/968,"Course analytics will show you activity, assignment submissions, grades, and students. You can view analytics in both active and concluded courses. You can also view published quiz statistics.  Notes: In Global Navigation, click the Courses link [1], then click the name of the course [2]. Click the View Course Analytics button. By default, analytics are shown in a graph format. There are three types of graphs: Activity by Date, Submissions, and Grades. The Activity by Date graph shows all course activity for all users in the course. The x-axis represents the course dates, while the y-axis represents the number of page views. Dark blue bars represent participation in the course. If a date only includes page views, the bar only displays as light blue. The graph changes the bar display according to the length of time. Activity that is less than six months old displays bars as daily activity, at six months bars are displayed as weekly activity, and at approximately a year bars are displayed as monthly activity. Browser window size, zoom level, and screen resolution may also change how the bars display. To view the details of the bar graph, hover over the specific bar you want to view. The weekly view shows the first and last date for the week; the monthly view shows the month and the year. The following user actions will generate analytics course participation: The Submissions Graph shows the status of each assignment in the course. The x-axis represents the assignments, while the y-axis represents the percentage of submissions for all students in the course.  The green rounded shape at the bottom of the bar indicates how many students submitted the assignment on time [1]. The yellow straight-edge shape indicates how many students submitted the assignment late/past due [2]. The red rounded shape at the top of the bar indicates how many students have not submitted the assignment [3]. To view the details of the bar graph, hover over the specific bar you want to view. The details include the assignment title, the due date (if any), and the percentage of late, on time, and missing submissions.  Note: The bars will only extend to the edge of the dates available for the course, even if there is an assignment or quiz that extends beyond the course start and end dates. The graph will include a note graph explaining there are assignments outside of the course dates. The Grades graph shows the median, high, and low scores for an assignment. The x-axis represents each assignment, while the y-axis represents the number of points for an assignment. The vertical blue line extends from the lowest score to the highest score [1]. The blue box extends from the 25th to 75th percentile [2]. The horizontal black line shows the median score for the assignment [3]. Gray lines indicate hidden assignments [4]. To view the details of the bar graph, hover over the specific bar you want to view.  To view analytics without hovering over graph columns, you can view all data in a table format. To switch to the table format, click the Analytics icon. The icon will switch from the left side to the right, indicating the current analytics view.  Tables apply to every graph in its respective page, and each column defines the data within its respective graph. Graphical data is displayed by column.  Each table is paginated to 30 entries per page; additional pages can be viewed by advancing to the next page. Student Analytics are always shown in a table format and displays an overview of student participation in the course. You can view the student name [1], page views [2], participations [3], and submissions [4].  The Submissions column shows how many published and graded assignments each student has submitted in the course. Submissions are broken down according to how many submissions were on time [5], late [6], and missing [7]. Note that an assignment only counts as missing if the due date has passed and it has not been submitted.  You can also view a student's current score percentage [8], which is their total score in the course. The analytics table is paginated so you can view more students if you continue to scroll down the page. You can sort student analytics in ascending or descending order by student name, page views, participations, and current score. These filters allow you to evaluate student performance according to your preference. To view analytics for a specific student, click the name of the student."
How do I view analytics for a student in a course?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-view-analytics-for-a-student-in-a-course/ta-p/969,"Student analytics show you how well a particular student is doing in your course. You can also view student analytics after your course has concluded. Your institution may allow students to view their own course analytics, which helps show them accurate information about their course activity and interactions. If this permission is enabled, your view and the student's view of their analytics is the same.  Notes:  In Global Navigation, click the Courses link [1], then click the name of the course [2]. Click the View Course Analytics button. In the Student Analytics table, click the name of the student.  To locate a student, you can sort the table by student name, page views, participates, and current score. The analytics table is paginated so you can view more students if you continue to scroll on the page. When viewing analytics for an individual student, you can view the student's name and current percentage in the course [1]. To send a message directly to the student, click the mail icon [2].  To view analytics for a different student, click the next or previous buttons in the user menu [3], or locate the student in the drop-down menu [4].  By default, analytics are shown in a graph format. These are four types of graphs: Activity by Date, Communication, Submissions, and Grades. The Activity by Date graph shows all course activity for the student. The x-axis represents the course dates, while the y-axis represents the number of page views. Dark blue bars represent participation in the course. If a date only includes page views, the bar only displays as light blue. The graph changes the bar display according to the length of time. Activity that is less than six months old displays bars as daily activity, at six months bars are displayed as weekly activity, and at approximately a year bars are displayed as monthly activity. To view the details of the bar graph, hover over the specific bar you want to view. The weekly view shows the first and last date for the week; the monthly view shows the month and the year. Browser window size, zoom level, and screen resolution may also change how the bars display. The following user actions will generate analytics course participation:   You can also view specific content participation data in the course access report. The Communication graph shows the conversations that have taken place between the student and instructor(s) in the Canvas Inbox. The y-axis represents the user type; orange message icons show when a student sent a message to an instructor, and blue message icons show when an instructor sent a message to the student. The x-axis represents the interaction date.  To view the details of the bar graph, hover over the specific bar you want to view. You can view the date of the communication and how many messages were sent. A message is an individual message passed from one user to the other; in message threads, each message is individually counted. In group conversations, interactions are counted as long as the student is one of the recipients. Notifications are not included in analytics unless the user acts on the notification and generates a new message that passes through the Canvas Inbox. Announcements are not included in communication analytics.  You can also view specific communication data in the student interactions report. The Submissions graph shows the status of each submission for the student. The y-axis represents each assignment, while the x-axis represents the submission date. A green circle indicates an assignment that was submitted on time. A yellow triangle indicates an assignment that was submitted late. A red square indicates an assignment that is missing (not submitted). A white circle with a black outline indicates an assignment with a future due date.  If a submission includes a due date, the submission may include horizontal line. The line indicates when the assignment was submitted, while the shape indicates the actual due date. If a submission was submitted before the due date, the horizontal line is green; if it was submitted after the due date, the horizontal line is yellow. Submissions without a horizontal line either have no due date, or the assignment was submitted on the due date.  To view the details of the bar graph, hover over the specific bar you want to view. Current and past assignments include the assignment title, the due date (if any), the submission date, and the score. Future assignments include the assignment title, due date (if any), and the score. Note: The Submissions chart does not include information about assignments that do not require a submission (e.g., not graded, on paper assignments), excused assignments, or assignments that do not apply to a student because of differentiated assignments.  The Grades graph shows the median, high, and low scores for each assignment. The x-axis represents each assignment, while the y-axis represents the number of points for an assignment. The vertical black line extends from the highest score to the lowest score [1]. The gray box extends from the 75th percentile to 25th percentile [2]. The horizontal black line shows the median score for the assignment [3]. The student's score is indicated by the same shapes found in the Submissions graph. A green circle indicates an assignment with a good score. A good score is equal to or greater than the median score. A yellow triangle indicates an assignment with a fair score. A fair score is below the median but still within the 75th to 25th percentile range. A red square indicates an assignment with a poor score. A poor score is below the 25th percentile. To view assignment names and details, hover your cursor over the graph [4]. To view analytics without hovering over graph columns, you can view all data in a table format. To switch to the table format, click the Analytics icon. The icon will switch from the left side to the right, indicating the current analytics view.  Tables apply to every graph in its respective page, and each column defines the data within its respective graph. Graphical data is displayed by column.  Each table is paginated to 30 entries per page; additional pages can be viewed by advancing to the next page."
How do I view analytics for an individual student in New Analytics?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-view-analytics-for-an-individual-student-in-New/ta-p/801,"Student analytics show you how well a particular student is doing in your course. You can view analytics in both active and concluded courses. Only active and completed student enrollments are included in data for New Analytics. Deleted or inactive user enrollments will not generate data. Available analytics include course grade, weekly online activity, and communication. By default, the analytics page displays an interactive chart graph of all data. However, you can view data within a table at any time. Learn more about New Analytics. Notes: In Global Navigation, click the Courses link [1], then click the name of the course [2]. To open New Analytics, click the New Analytics link in Course Navigation [1] or click the New Analytics button in the Course Home Page [2]. Note: If you cannot view the New Analytics link, you may have to make the link visible via the Navigation tab in Course Settings. For reporting accuracy, the page displays the last time analytics data was last updated. Notes: To view the student's weekly online activity, click the Weekly Online Activity tab [1].  Data is displayed as a chart with two rows: average page views [2] and average participations [3]. The following actions will generate participations: Data for the week that is currently in progress is indicated by a dotted line [4]. To download a CSV of the weekly online activity data, click the Download button [5]. Note: The definition of participation is based on federal guidelines related to student attendance as applicable to online courses. Please note that because communication between students and teachers often happens outside of the LMS, it is not included as a participation metric. However, as part of the Course Analytics offering, a history of inbox messages sent between students and instructors is included so that it can be viewed alongside participation metrics. To view weekly online activity in a table, click the Options icon [1] and select the Data Table option [2]. The data table shows the week start date [3], number of page views [4], and number of participations [5]. To view analytics for all students in your course, click the Students tab [1]. To view analytics for one student in your course, click the name of the student [2]. To locate a student, you can sort the table by student name [3], or any other column header [4]. The analytics table is paginated so you can view more students if you continue to scroll to the bottom of the page. When viewing analytics for an individual student, you can view the student's name and send a message to the student [1].  To return to course analytics, click the Course Analytics link [2]. By default, the student analytics opens to the Course Grade tab [1]. The Course Grade chart graph shows the submission status and grade for all the assignments in the course. The student's current course grade is shown above the chart graph [2].  The x-axis displays an icon to indicate if the activity is an assignment, quiz, or discussion. The y-axis indicates the grade percentage. A solid dot in the chart represents a graded assignment [3] and an empty dot represents an ungraded assignment [4]. Click any dot to view more details about the assignment. To download a CSV of the course grade data, click the Download button [5]. To view course grade data in a table, click the Options icon [1] and select the Data Table option [2]. The data table shows the assignment name [3], due date [4], submitted [5] status [6], and grade [7]. The table can be sorted by clicking any column heading.  To view an overview of messages, click the Communication tab [1]. The Communication graph shows the number of conversations that have taken place between the student and instructor(s) in the Canvas Inbox. The total number of messages sent by students and instructors is displayed above the graph [2].  The x-axis shows the date range and the y-axis shows the number of messages sent. Student and instructor messages are differentiated by different colors. To improve contrast in the chart, click the Chart Options icon [3] and select the Display Shapes option [4]. To view the details of the bar graph, hover over the specific bar you want to view. You can view the total number of messages sent for the date range. Click the bar to view the specific days and number of messages that were sent in the range. To download a CSV of the communication data, click the Download button [5].   To view Communication activity in a table, click the Options icon [1] and select the Data Table option [2]. The data table shows the week start date [3], number of student messages [4], and number of instructor messages [5]. The table can be sorted by clicking any column heading. To view details of a specific date range, click the date [6].  If enabled by your institution, you can also view an Online Attendance report that indicates if students have met online attendance criteria for designated class days. Online attendance criteria is managed by your institution."
How do I view average course grade analytics in an interactive chart graph in New Analytics?,https://community.canvaslms.com/t5/Instructor-Guide/How-do-I-view-average-course-grade-analytics-in-an-interactive/ta-p/1193,"New Analytics allows you to track average course grades for student submissions using an interactive chart graph. Data is for viewing only and cannot directly be changed. You can view analytics in both active and concluded courses. The average course grade is the average of all student totals from the Gradebook. Course analytics will show you student activity, assignment submissions, grades, and student names. Page views and participation metrics include an aggregate across all devices, including Canvas mobile apps. Only active and completed student enrollments are included in data for New Analytics. Deleted or inactive user enrollments will not generate data. By default, the analytics page displays an interactive chart graph of all data. However, you can switch and view data within a table at any time. Notes:  In Global Navigation, click the Courses link [1], then click the name of the course [2]. To open New Analytics, click the New Analytics link in Course Navigation [1] or click the New Analytics button in the Course Home Page [2]. Note: If you cannot view the New Analytics link, you may have to make the link visible via the Navigation tab in Course Settings. Click the Course Grade tab. For reporting accuracy, the page displays the last time analytics data was last updated. Data is refreshed in New Analytics every 24 hours. Note: If the course has been concluded, the analytics page includes a Concluded label above the Data Last Updated date. The analytics page is dynamic based on filtered content. By default, all results display the course average, which cannot be removed [1].  You can also view the average grade percentage for all students [2], which is not affected by any filter. By default, analytics selects all assignment types to display within the page [1]. Each assignment in the chart displays the appropriate icon for each visible assignment type [2]. To view additional assignments, click and drag the scrollbar [3]. Note: The Quiz icon represents both classic quizzes and New Quizzes question types.  To filter by assignment type, remove the checkbox next to the assignment type. The chart dynamically updates the results based on the assignment type selected or removed in the filter. Note: At least one assignment type is required at all times. For analytical comparisons, you can compare graph data by filtering a section, student, or assignment. On the Students tab, you can also view the specific students that are part of each filter. For each student, the table displays the following data: By default, the students table displays 25 students at a time. You can view additional pages in the pagination bar. By default, the table sorts by last name, first name. However, you can sort any column in ascending or descending order by clicking the heading name. The sorted column is indicated by the sort arrow. To send a message to students whose grades or submissions are within specific criteria, click the Message button. To export analytics data as a CSV file, click the Download button. CSV data is exported according to the filtered data. CSV files display a student's full name, sortable name, Canvas user ID, SIS user ID or email (if applicable), overall course grade, the percent that assignments have been on time, the last page view time, the last participation time, and the last time the student logged out."
