Question,Answer
What is Zoom and what can it do?,"Zoom is a web conferencing tool that provides a platform to conduct live online conferences, presentations, lectures, meetings and webinars. Zoom runs on Mac, PC, Linux, iOS, Android, and room systems."
Who can use Zoom at Georgetown?,"All active Georgetown faculty, staff, and students can use Zoom to host meetings."
Is there a cost for using Zoom at Georgetown?,"There is no cost to use Zoom at Georgetown for meetings with less than 300 people. To host larger meetings, learn about Zoom Webinars, or contact zoom@georgetown.edu to request a temporary Large Meeting Add-on that can accommodate up to 500 people."
Can I invite non-Georgetown people to join a meeting?,"Yes, the default meeting settings allow anyone to join your meeting. In other words, meeting participants do not need a NetID to join a Georgetown Zoom meeting. Only the host of the meeting needs to have an active NetID and a licensed Zoom Pro account."
How many participants can join a Zoom meeting?,Each Zoom meeting at Georgetown can hold 300 people (including the host). Contact zoom@georgetown.edu to request a temporary Large Meeting Add-on that can accommodate up to 500 people.
Can I access Zoom through Canvas?,Yes! Instructors can create Zoom meetings and invite students through their courses in Canvas.
"I want the participant capacity offered by Zoom Webinar, but I want to use the Zoom Meeting platform.",Georgetown has a limited number of “Large Meeting” licenses that it can temporarily loan out to hosts that anticipate more than 300 participants in their Zoom Meeting. For more information contact: zoom@georgetown.edu
What do I need to use Zoom?,You may need audio/video equipment. You should also review the system requirements for using Zoom.
How do I claim my licensed Zoom Pro account and host my own meetings?,"All Georgetown faculty, staff and students are eligible to receive licensed Zoom Pro accounts. Download and install the Zoom desktop client (software) Sign in to the Zoom desktop client (software) using your NetID Faculty can use the Zoom Conferencing tool in their Canvas courses to schedule meetings with students and hold online office hours. Faculty and students can use Zoom outside of Canvas to create and host their own meetings. NOTE: In some cases, typically when you have already paid for a Zoom account, you will get an “SSO” error message when attempting to sign in to Zoom using your NetID. Please notify the GU Zoom team (zoom@georgetown.edu) and we can send your NetID@georgetown.edu an invite to join the GU Zoom account. Please follow the instructions on the email to move your account. Don’t worry about the references to Chad Gordon; that is our Zoom administrator. If you are prompted about a refund, please choose to send it to yourself."
How do I update Zoom to the latest version?,"Zoom regularly provides updates to the Zoom desktop client and mobile app. This often brings new features, functionality, security patches and bug fixes to the app and client. We recommend always updating Zoom to the latest version once it is available. "
Who is eligible for a licensed Zoom Pro account at Georgetown?,"Currently affiliated (active) faculty, staff, and students at Georgetown University. Unfortunately our licensing does not allow us to provide “Pro” Zoom licenses to alumni or non-Georgetown affiliated users."
"I am a Georgetown alumni, do I have a licensed Zoom Pro account?","Yes, all Georgetown alumni will maintain their Zoom accounts, however approximately 60-90 days after graduation your Zoom account will change from a licensed ‘Pro’ to ‘Basic’ account. Once the account has been changed to ‘Basic’ meetings are limited to 40-minutes. Unfortunately, alumni will not be able to obtain a licensed Zoom Pro account using their NetID@georgetown.edu. Georgetown alumni Zoom accounts are only basic accounts. You will need to sign up for a licensed Pro account using a different email address."
How long will alumni have access to the Licensed Pro version of Zoom after graduation?,"Typically, student Zoom accounts get a grace period of approximately 60-90 days after graduation before their accounts switch from licensed ‘Pro’ to ‘Basic’ accounts. This is an estimate, and the exact date is controlled by the registrar’s office. Once the account has been changed to ‘Basic’ meetings are limited to 40-minutes."
